,Unnamed: 0,date,event,map,team_1,team_2
8591,8591.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Nuke'],Rare Atom (16),Moon (2)
8592,8592.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Overpass'],NSN (2),TYLOO (16)
8593,8593.0,29/3/22,ESL Challenger League Season 40 Asia-Pacific,['Inferno'],TYLOO (16),NSN (1)
8594,8594.0,29/3/22,Pinnacle Cup III,['Nuke'],Copenhagen Flames (16),Dignitas (6)
8595,8595.0,29/3/22,Pinnacle Cup III,['Overpass'],Dignitas (16),Copenhagen Flames (3)
8596,8596.0,29/3/22,Pinnacle Cup III,['Vertigo'],Copenhagen Flames (16),Dignitas (10)
8597,8597.0,29/3/22,Thunderpick Bitcoin Series 2022,['Nuke'],K23 (16),ECSTATIC (10)
8598,8598.0,29/3/22,Thunderpick Bitcoin Series 2022,['Inferno'],K23 (13),ECSTATIC (16)
8599,8599.0,29/3/22,Thunderpick Bitcoin Series 2022,['Overpass'],ECSTATIC (4),K23 (16)
8600,8600.0,29/3/22,ESEA Advanced Season 40 North America,['Vertigo'],Levitate (9),Big Chillin (16)
8601,8601.0,29/3/22,ESEA Advanced Season 40 North America,['Overpass'],Big Chillin (16),Levitate (10)
8602,8602.0,28/3/22,ESEA Advanced Season 40 Europe,['Dust2'],MASONIC (12),MAD Lions (16)
8603,8603.0,28/3/22,ESEA Advanced Season 40 Europe,['Nuke'],MAD Lions (16),MASONIC (13)
8604,8604.0,28/3/22,ESEA Advanced Season 40 Europe,['Mirage'],Singularity (16),INDE IRAE (2)
8605,8605.0,28/3/22,ESEA Advanced Season 40 Europe,['Nuke'],INDE IRAE (14),Singularity (16)
8606,8606.0,28/3/22,ESEA Advanced Season 40 Europe,['Ancient'],Singularity (12),INDE IRAE (16)
8607,8607.0,28/3/22,Elisa Invitational Spring 2022 Contenders,['Overpass'],Enterprise (7),DREAM (16)
8608,8608.0,28/3/22,Elisa Invitational Spring 2022 Contenders,['Vertigo'],Enterprise (14),DREAM (16)
8609,8609.0,28/3/22,Elisa Invitational Spring 2022 Contenders,['Mirage'],DREAM (6),Enterprise (16)
8610,8610.0,28/3/22,Pinnacle Cup III,['Nuke'],SKADE (16),Vitality (10)
8611,8611.0,28/3/22,Pinnacle Cup III,['Overpass'],Vitality (13),SKADE (16)
8612,8612.0,28/3/22,ESEA Advanced Season 40 Europe,['Mirage'],ALTERNATE aTTaX (16),EC Brugge (13)
8613,8613.0,28/3/22,ESEA Advanced Season 40 Europe,['Inferno'],EC Brugge (9),ALTERNATE aTTaX (16)
8614,8614.0,28/3/22,Pinnacle Cup III,['Vertigo'],ENCE (8),Copenhagen Flames (16)
8615,8615.0,28/3/22,Pinnacle Cup III,['Mirage'],Copenhagen Flames (16),ENCE (12)
8616,8616.0,28/3/22,Pinnacle Cup III,['Vertigo'],ECSTATIC (13),Tricked (16)
8617,8617.0,28/3/22,Pinnacle Cup III,['Nuke'],ECSTATIC (17),Tricked (19)
8618,8618.0,28/3/22,Pinnacle Cup III,['Inferno'],Tricked (9),ECSTATIC (16)
8619,8619.0,28/3/22,ESEA Advanced Season 40 North America,['Dust2'],InControl (16),Magic School Bus (10)
8620,8620.0,28/3/22,ESEA Advanced Season 40 North America,['Nuke'],Magic School Bus (6),InControl (16)
8621,8621.0,28/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Overpass'],Carpe Diem (16),Orgless (12)
8622,8622.0,28/3/22,ESEA Spring 2022 Cash Cup 1 North America,['Inferno'],Orgless (10),Carpe Diem (16)
8623,8623.0,29/3/22,LPL Pro League Season 10,['Overpass'],Bandits (11),1620 Kings (16)
8624,8624.0,28/3/22,ESEA Advanced Season 40 Europe,['Overpass'],VELOX (13),FAMBIT (16)
8625,8625.0,28/3/22,ESEA Advanced Season 40 Europe,['Ancient'],FAMBIT (13),VELOX (16)
8626,8626.0,28/3/22,ESEA Advanced Season 40 Europe,['Nuke'],VELOX (1),FAMBIT (16)
8627,8627.0,28/3/22,ESEA Advanced Season 40 Europe,['Overpass'],Anonymo (7),forZe (16)
8628,8628.0,28/3/22,ESEA Advanced Season 40 Europe,['Mirage'],Anonymo (16),forZe (14)
8629,8629.0,28/3/22,ESEA Advanced Season 40 Europe,['Ancient'],forZe (16),Anonymo (12)
8630,8630.0,28/3/22,Pinnacle Cup III,['Inferno'],Dignitas (16),BLUEJAYS (6)
8631,8631.0,28/3/22,Pinnacle Cup III,['Vertigo'],BLUEJAYS (14),Dignitas (16)
8632,8632.0,28/3/22,ESEA Advanced Season 40 Europe,['Dust2'],K23 (16),AVE (14)
8633,8633.0,28/3/22,ESEA Advanced Season 40 Europe,['Overpass'],AVE (13),K23 (16)
8634,8634.0,28/3/22,ESEA Advanced Season 40 Europe,['Ancient'],K23 (14),AVE (16)
8635,8635.0,28/3/22,ESEA Advanced Season 40 Europe,['Ancient'],ECLOT (8),Sangal (16)
8636,8636.0,28/3/22,ESEA Advanced Season 40 Europe,['Mirage'],Sangal (17),ECLOT (19)
8637,8637.0,28/3/22,ESEA Advanced Season 40 Europe,['Inferno'],ECLOT (7),Sangal (16)
8638,8638.0,28/3/22,Elisa Invitational Spring 2022 Contenders,['Overpass'],Savage (7),PROSPECTS (16)
8639,8639.0,28/3/22,Elisa Invitational Spring 2022 Contenders,['Vertigo'],Savage (12),PROSPECTS (16)
