,Unnamed: 0,team,points,players,date_start
9439,,['Boca Juniors'],['(5 points)'],"['KUN', 'peqexino', 'elemeNt', 'luchov', 'alexer']",29/11/2021
9440,,['Furious'],['(4 points)'],"['meyern', 'EmaDlz', 'OwensinhoM', 'nacho', 'abizz']",29/11/2021
9441,,['PAMPAS'],['(3 points)'],"['PREDI', 'BerSeCkaZo', 'pavv', 'andizin', 'bichop']",29/11/2021
9442,,['9z Academy'],['(3 points)'],"['KAISER', 'relentless', 'buda', 'righi', 'mt1']",29/11/2021
9443,,['Wygers AR'],['(3 points)'],"['Zote', 'otto', 'Straka', 'jnf', 'forg1']",29/11/2021
9444,,['Stone'],['(2 points)'],"['Andrew', 'rushardo', 'ABM', 'fusco', 'naz']",29/11/2021
9445,,['Coscu Army'],['(2 points)'],"['restikk', 'nhl', 'jotti', '648', 'FRANAR']",29/11/2021
9446,,['Malvinas'],['(1 points)'],"['ramuljas', 'kissmyass', 'gatito', 'dgn', 'TIKO']",29/11/2021
9447,,['Eqole'],['(1 points)'],"['vezy', 'necro', 'meenz', 's1', 'targetzao']",29/11/2021
9448,,['FURIA'],['(182 points)'],"['arT', 'yuurih', 'VINI', 'KSCERATO', 'drop']",29/11/2021
9449,,['GODSENT'],['(51 points)'],"['TACO', 'felps', 'dumau', 'b4rtiN', 'latto']",29/11/2021
9450,,['paiN'],['(33 points)'],"['PKL', 'NEKIZ', 'hardzao', 'biguzera', 'saffee']",29/11/2021
9451,,['TeamOne'],['(20 points)'],"['Maluk3', 'prt', 'malbsMd', 'pesadelo', 'xns']",29/11/2021
9452,,['Sharks'],['(16 points)'],"['jnt', 'pancc', 'realz1n', 'Lucaozy', 'zevy']",29/11/2021
9453,,['MIBR'],['(13 points)'],"['boltz', 'exit', 'WOOD7', 'Tuurtle', 'JOTA']",29/11/2021
9454,,['Isurus'],['(12 points)'],"['Noktse', 'DeStiNy', 'ALLE', 'deco', 'nython']",29/11/2021
9455,,['Imperial'],['(8 points)'],"['zqkS', 'SHOOWTiME', 'delboNi', 'horvy', 'ckzao']",29/11/2021
9456,,['00NATION'],['(7 points)'],"['kNgV-', 'fer', 'trk', 'leo_drk', 'vsm']",29/11/2021
9457,,['Keyd'],['(5 points)'],"['raafa', 'ponter', 'abr', 't9rnay', 'lub']",29/11/2021
9458,,['Liberty'],['(5 points)'],"['remix', 'dok', 'skullz', 'kye', 'cidZzZ']",29/11/2021
9459,,['Los Grandes'],['(4 points)'],"['land1n', 'caike', 'mawth', 'tatazin', 'kai']",29/11/2021
9460,,['SWS'],['(4 points)'],"['w1', 'RICIOLI', 'chay', 'Gafolo', 'matios']",29/11/2021
9461,,['Stars Horizon'],['(3 points)'],"['GYZER', 'lukz', 'vLa', 'UnK', 'hoax']",29/11/2021
9462,,['INTZ'],['(3 points)'],"['paredao', 'nolkz', 'gon', 'paiva', 'roz']",29/11/2021
9463,,['FURIA Academy'],['(3 points)'],"['zmb', 'piriaz1n', 'decenty', 'HPS', 'honda']",29/11/2021
9464,,['ex-Ceará'],['(2 points)'],"['SKip', 'lineko', 'naitte', 'supLex', 'koala']",29/11/2021
9465,,['Santos'],['(2 points)'],"['DebornY', 'beg0d', 'jAPA', 'bsd', 'STRIKER']",29/11/2021
9466,,['DETONA'],['(2 points)'],"['BobZ', 'keiz', 'phx', 'voltera', 'lux']",29/11/2021
